model,d,m,precision,tp,fp
BLOW_HNSN_YENL,2,8,0.0,0,29
BLOW_HNSN_YENL,2,9,0.0,0,19
BLOW_HNSN_YENL,3,4,0.0,0,13
BLOW_HNSN_YENL,3,5,0.0,0,55
BLOW_HNSN_YENL,3,6,0.0,0,39
BLOW_HNSN_YENL,3,7,0.0,0,8
BLOW_HNSN_YENL,3,8,0.0,0,21
BLOW_HNSN_YENL,3,9,0.0,0,32
BLOW_HNSN_YENL,4,4,0.0,0,60
BLOW_HNSN_YENL,4,5,0.0,0,34
BLOW_HNSN_YENL,4,6,0.0,0,56
BLOW_HNSN_YENL,4,7,0.0,0,14
BLOW_HNSN_YENL,4,8,0.0,0,64
BLOW_HNSN_YENL,4,9,0.0,0,8
BLOW_HUAL,0,4,0.0,0,24
BLOW_HUAL,0,5,0.0,0,43
BLOW_HUAL,0,6,0.0,0,26
BLOW_HUAL,0,7,0.0,0,15
BLOW_HUAL,0,8,0.0,0,29
BLOW_HUAL,0,9,0.0,0,22
BLOW_HUAL,1,4,0.0,0,19
BLOW_HUAL,1,5,0.0,0,32
BLOW_HUAL,1,6,0.0,0,35
BLOW_HUAL,1,7,0.0,0,22
BLOW_HUAL,1,8,0.0,0,18
BLOW_HUAL,1,9,0.0,0,64
BLOW_HUAL,2,4,0.08333333333333333,2,22
BLOW_HUAL,2,5,0.014705882352941176,1,67
BLOW_HUAL,2,6,0.0,0,40
BLOW_HUAL,2,7,0.0,0,33
BLOW_HUAL,2,8,0.0,0,35
BLOW_HUAL,2,9,0.0,0,14
BLOW_HUAL,3,4,0.0,0,44
BLOW_HUAL,3,5,0.0,0,45
BLOW_HUAL,3,6,0.0,0,26
BLOW_HUAL,3,7,0.0,0,17
BLOW_HUAL,3,8,0.0,0,44
BLOW_HUAL,3,9,0.0,0,84
BLOW_HUAL,4,4,0.0,0,38
BLOW_HUAL,4,5,0.0,0,27
BLOW_HUAL,4,6,0.0,0,39
BLOW_HUAL,4,7,0.0,0,33
BLOW_HUAL,4,8,0.0,0,39
BLOW_HUAL,4,9,0.0,0,40
BLOW_HUAL_HUAN,0,4,0.0,0,13
BLOW_HUAL_HUAN,0,5,0.0,0,41
BLOW_HUAL_HUAN,0,6,0.0,0,25
BLOW_HUAL_HUAN,0,7,0.0,0,29
BLOW_HUAL_HUAN,0,8,0.0,0,35
BLOW_HUAL_HUAN,0,9,0.0,0,35
BLOW_HUAL_HUAN,1,4,0.014492753623188406,1,68
BLOW_HUAL_HUAN,1,5,0.0,0,14
BLOW_HUAL_HUAN,1,6,0.0,0,18
BLOW_HUAL_HUAN,1,7,0.0,0,22
BLOW_HUAL_HUAN,1,8,0.0,0,22
BLOW_HUAL_HUAN,1,9,0.0,0,51
BLOW_HUAL_HUAN,2,4,0.023809523809523808,1,41
BLOW_HUAL_HUAN,2,5,0.0,0,17
BLOW_HUAL_HUAN,2,6,0.0,0,60
BLOW_HUAL_HUAN,2,7,0.0,0,13
BLOW_HUAL_HUAN,2,8,0.0,0,24
BLOW_HUAL_HUAN,2,9,0.0,0,23
BLOW_HUAL_HUAN,3,4,0.0,0,51
